Model,MAE,RMSE,R2,Train Time (s)
XGBoost,97149.2421875,201768.87910676413,0.9459196925163269,3.776245355606079
Extra Trees,98635.52848004625,218790.36182878536,0.9364102279912434,17.07274627685547
Random Forest,103039.16084557907,236624.68454414158,0.9256208876948606,12.980220317840576
Gradient Boosting,114947.5870370119,276756.2767174191,0.8982520065299093,46.97615623474121
Linear Regression,176690.48793535592,375646.5462796537,0.8125481653305487,2.4707345962524414
Ridge,179919.29634938526,375322.6783766836,0.8128712534167103,0.13379955291748047
